fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
"2020-01-27,8309X,UTIEL,VALENCIA,758,""5,8"",""0,0"",""1,7"",04:20,""9,9"",15:40,27,""4,7"",""12,5"",12:50,""3,7"",""936,6"",10,""933,5"",17"
"2020-01-28,8309X,UTIEL,VALENCIA,758,""9,4"",""0,0"",""7,6"",Varias,""11,2"",15:30,28,""5,8"",""13,1"",16:30,""1,3"",""936,0"",11,""933,6"",Varias"
"2020-01-29,8309X,UTIEL,VALENCIA,758,""12,0"",""0,0"",""9,4"",01:00,""14,7"",14:50,31,""3,3"",""9,7"",09:00,""3,0"",""936,7"",Varias,""934,5"",03"
"2020-01-30,8309X,UTIEL,VALENCIA,758,""10,6"",""0,0"",""7,3"",07:40,""14,0"",12:40,28,""4,4"",""10,3"",13:50,""4,6"",""936,7"",10,""934,2"",16"
"2020-01-31,8309X,UTIEL,VALENCIA,758,""11,2"",""0,0"",""8,5"",21:50,""14,0"",13:40,32,""3,9"",""13,1"",02:10,""3,1"",""937,4"",10,""934,7"",16"
"2020-02-01,8309X,UTIEL,VALENCIA,758,""12,8"",""0,0"",""8,2"",22:20,""17,3"",13:50,30,""4,4"",""14,4"",13:10,""6,7"",""940,4"",Varias,""934,5"",04"
"2020-02-02,8309X,UTIEL,VALENCIA,758,""11,8"",""0,0"",""5,5"",Varias,""18,2"",14:50,99,""2,8"",""7,2"",13:50,""8,9"",""942,5"",23,""939,6"",05"
"2020-02-03,8309X,UTIEL,VALENCIA,758,""12,6"",""0,0"",""2,7"",07:50,""22,5"",14:30,17,""0,6"",""4,7"",15:30,""8,9"",""943,2"",10,""940,0"",16"
"2020-02-04,8309X,UTIEL,VALENCIA,758,""12,5"",""0,0"",""1,7"",07:00,""23,3"",15:20,36,""4,2"",""14,7"",22:50,""9,7"",""941,0"",00,""936,1"",16"
"2020-02-05,8309X,UTIEL,VALENCIA,758,""7,6"",""0,0"",""1,2"",07:20,""14,0"",15:20,34,""3,3"",""12,5"",01:00,""9,4"",""941,1"",11,""938,0"",Varias"
"2020-02-06,8309X,UTIEL,VALENCIA,758,""6,2"",""0,0"",""-0,2"",07:50,""12,5"",14:50,15,""2,5"",""7,2"",15:40,""9,4"",""939,1"",11,""935,4"",Varias"
"2020-02-07,8309X,UTIEL,VALENCIA,758,""6,6"",""0,0"",""0,6"",06:40,""12,7"",15:20,16,""1,7"",""5,0"",13:40,""8,4"",""936,9"",00,""934,1"",15"
"2020-02-08,8309X,UTIEL,VALENCIA,758,""7,6"",""0,0"",""1,1"",03:00,""14,1"",13:40,32,""2,5"",""8,6"",14:10,""5,1"",""938,7"",24,""935,3"",02"
"2020-02-09,8309X,UTIEL,VALENCIA,758,""7,8"",""0,0"",""0,4"",08:00,""15,1"",14:10,25,""2,8"",""8,1"",15:30,""8,5"",""943,3"",Varias,""938,3"",03"
"2020-02-10,8309X,UTIEL,VALENCIA,758,""13,0"",""0,0"",""6,3"",01:10,""19,8"",16:00,30,""3,3"",""10,8"",10:30,""9,8"",""943,0"",00,""939,5"",17"
"2020-02-11,8309X,UTIEL,VALENCIA,758,""12,5"",""0,0"",""2,6"",05:20,""22,4"",15:30,21,""1,7"",""5,8"",15:00,""10,0"",""940,4"",00,""935,0"",Varias"
"2020-02-12,8309X,UTIEL,VALENCIA,758,""9,8"",""0,0"",""5,6"",05:40,""14,1"",15:50,14,""1,9"",""6,4"",17:40,""2,0"",""937,2"",10,""934,6"",17"
"2020-02-13,8309X,UTIEL,VALENCIA,758,""11,4"",""0,0"",""5,6"",23:40,""17,1"",15:40,30,""3,9"",""13,1"",10:30,""9,8"",""937,0"",24,""933,8"",15"
"2020-02-14,8309X,UTIEL,VALENCIA,758,""9,5"",""0,0"",""1,1"",07:10,""17,9"",15:00,33,""1,7"",""5,0"",01:30,""10,0"",""938,4"",10,""935,9"",17"
"2020-02-15,8309X,UTIEL,VALENCIA,758,""10,4"",""0,0"",""0,6"",07:10,""20,2"",15:50,25,""2,8"",""7,5"",13:50,""10,0"",""939,5"",Varias,""936,7"",04"
"2020-02-16,8309X,UTIEL,VALENCIA,758,""11,0"",""0,0"",""1,0"",07:40,""21,0"",14:20,24,""3,1"",""8,9"",14:30,""10,2"",""939,7"",09,""937,4"",Varias"
"2020-02-17,8309X,UTIEL,VALENCIA,758,""12,0"",""0,0"",""4,2"",08:00,""19,7"",15:20,31,""3,6"",""10,3"",14:40,""10,1"",""940,8"",24,""936,6"",Varias"
"2020-02-18,8309X,UTIEL,VALENCIA,758,""9,4"",""0,0"",""8,5"",Varias,""10,4"",00:30,12,""2,2"",""7,2"",05:40,""0,0"",""943,1"",Varias,""940,8"",00"
"2020-02-19,8309X,UTIEL,VALENCIA,758,""9,6"",""0,0"",""2,0"",07:30,""17,1"",15:50,36,""2,8"",""7,2"",02:10,""8,3"",""943,1"",10,""939,5"",24"
"2020-02-20,8309X,UTIEL,VALENCIA,758,""9,4"",""0,0"",""-0,5"",06:20,""19,4"",16:00,14,""1,9"",""5,8"",18:20,""7,4"",""939,5"",00,""935,2"",16"
"2020-02-21,8309X,UTIEL,VALENCIA,758,""10,1"",""0,0"",""2,2"",06:50,""18,0"",15:00,14,""3,1"",""7,2"",12:10,""10,3"",""942,1"",24,""938,6"",Varias"
"2020-02-22,8309X,UTIEL,VALENCIA,758,""10,4"",""0,0"",""-0,9"",07:30,""21,8"",14:40,12,""2,5"",""6,4"",15:00,""10,4"",""945,4"",22,""941,8"",04"
"2020-02-23,8309X,UTIEL,VALENCIA,758,""11,3"",""0,0"",""0,2"",07:30,""22,4"",15:20,99,""1,9"",""4,4"",Varias,""10,4"",""945,9"",08,""942,3"",17"
"2020-02-24,8309X,UTIEL,VALENCIA,758,""11,6"",""0,0"",""0,3"",06:10,""22,9"",15:30,25,""3,1"",""7,2"",Varias,""10,4"",""942,7"",00,""934,3"",24"
"2020-02-25,8309X,UTIEL,VALENCIA,758,""10,4"",""0,0"",""0,9"",07:20,""20,0"",15:00,29,""4,7"",""13,3"",14:40,""8,9"",""934,3"",00,""929,2"",15"
"2020-02-26,8309X,UTIEL,VALENCIA,758,""11,2"",""0,0"",""4,0"",07:00,""18,4"",16:00,30,""3,9"",""11,1"",16:30,""10,5"",""933,3"",23,""929,6"",16"
"2020-02-27,8309X,UTIEL,VALENCIA,758,""9,2"",""0,0"",""0,0"",06:50,""18,5"",14:50,30,""4,2"",""15,0"",12:40,""10,3"",""935,3"",23,""931,3"",15"
"2020-02-28,8309X,UTIEL,VALENCIA,758,""10,8"",""0,0"",""1,4"",07:00,""20,3"",15:30,17,""3,3"",""8,3"",14:50,""9,9"",""935,4"",Varias,""930,3"",24"
"2020-02-29,8309X,UTIEL,VALENCIA,758,""9,4"",""0,0"",""1,9"",04:10,""16,9"",13:10,26,""6,9"",""15,8"",14:50,""6,6"",""930,3"",00,""926,1"",Varias"
"2020-03-01,8309X,UTIEL,VALENCIA,758,""11,4"",""0,8"",""7,5"",06:00,""15,2"",13:20,27,""8,3"",""18,3"",12:20,""4,9"",""928,1"",12,""921,9"",24"
"2020-03-02,8309X,UTIEL,VALENCIA,758,""8,6"",""5,6"",""4,2"",22:10,""12,9"",10:00,30,""11,1"",""27,8"",10:40,""5,6"",""929,8"",24,""916,4"",05"
"2020-03-03,8309X,UTIEL,VALENCIA,758,""7,8"",""0,0"",""3,8"",06:00,""11,9"",16:00,27,""8,1"",""16,7"",13:40,""0,5"",""931,0"",24,""927,4"",15"
